,segment,date_extract,income_statement,actual_month,forecast_month,budget_month,prev_year_month,link_id
208,Corp.,2022-02-01,Adjustments Various / Reserve,0.0,-1.5,-1.0,0.0,Corp._ER_2022-02-01
209,Corp.,2022-02-01,Gross profit,0.088,0.088,0.841,0.156,Corp._ER_2022-02-01
210,Corp.,2022-02-01,Adjustments Personnel expenses,-0.186,-0.186,-0.186,-0.59,Corp._ER_2022-02-01
211,Corp.,2022-02-01,EBITDA reported,-2.719,-2.719,-2.6830000000000003,-1.828,Corp._ER_2022-02-01
212,Corp.,2022-02-01,Personnel expenses,-1.5680000000000003,-1.5680000000000003,-1.581,-0.8860000000000001,Corp._ER_2022-02-01
213,Corp.,2022-02-01,EAT,-5.916,-5.916,-2.311,0.5748390000000001,Corp._ER_2022-02-01
214,Corp.,2022-02-01,Adjustments Gross Profit,0.0,0.0,0.0,0.0,Corp._ER_2022-02-01
215,Corp.,2022-02-01,Adjustments Other operating income,0.0,0.0,0.0,0.0,Corp._ER_2022-02-01
216,Corp.,2022-02-01,Adjustments Other operating expenses,0.0,-1.5,-1.0,0.0,Corp._ER_2022-02-01
217,Corp.,2022-02-01,EBITDA adjusted,-2.5329999999999995,-1.0329999999999995,-1.4969999999999994,-1.238,Corp._ER_2022-02-01
218,Corp.,2022-02-01,External Revenues,0.088,0.088,0.841,0.156,Corp._ER_2022-02-01
219,Corp.,2022-02-01,Marketing expenses,-0.21799999999999997,-0.21799999999999997,-0.5880000000000001,-0.019999999999999997,Corp._ER_2022-02-01
220,Corp.,2022-03-01,External Revenues,0.08800000000000002,0.08800000000000002,-1.682,0.23900000000000002,Corp._ER_2022-03-01
221,Corp.,2022-03-01,Consolidated Revenues,0.08800000000000002,0.08800000000000002,-1.682,0.23900000000000002,Corp._ER_2022-03-01
222,Corp.,2022-03-01,Personnel expenses,-1.8539999999999996,-1.8539999999999996,-1.6559999999999997,-1.1300000000000003,Corp._ER_2022-03-01
223,Corp.,2022-03-01,EAT,-5.897,-5.897,-2.8870000000000005,-1.853788,Corp._ER_2022-03-01
224,Corp.,2022-03-01,Adjustments Other operating income,0.0,0.0,0.0,0.0,Corp._ER_2022-03-01
225,Corp.,2022-03-01,Distribution expenses,0.0,0.0,0.0,0.0,Corp._ER_2022-03-01
226,Corp.,2022-03-01,Adjustments Personnel expenses,-0.09100000000000003,-0.09100000000000003,-0.09100000000000003,-0.29500000000000004,Corp._ER_2022-03-01
227,Corp.,2022-03-01,EBITDA reported,-3.8899999999999997,-3.8899999999999997,-1.9619999999999997,-2.3689999999999998,Corp._ER_2022-03-01
228,Corp.,2022-03-01,Marketing expenses,-0.22500000000000003,-0.22500000000000003,0.511,-0.018000000000000002,Corp._ER_2022-03-01
229,Corp.,2022-03-01,Adjustments Various / Reserve,0.0,0.0,-0.5,0.0,Corp._ER_2022-03-01
